2020-05-08;26192
2020-05-07;25949
2020-05-06;25772
2020-05-05;25498
2020-05-04;25168
2020-05-03;24864
2020-05-02;24729
2020-05-01;24563
2020-04-30;24345
2020-04-29;24056
2020-04-28;23629
2020-04-27;23262
2020-04-26;22825
2020-04-25;22583
2020-04-24;22214
2020-04-23;21825
2020-04-22;21309
2020-04-21;20765
2020-04-20;20240
2020-04-19;19694
2020-04-18;19303
2020-04-17;18661
2020-04-16;17901
2020-04-15;17148
2020-04-14;15712
2020-04-13;14967
2020-04-12;14393
2020-04-11;13832
2020-04-10;13197
2020-04-09;12210
2020-04-08;10869
2020-04-07;10328
2020-04-06;8911
2020-04-05;8078
2020-04-04;7560
2020-04-03;6507
2020-04-02;5387
2020-04-01;4403
2020-03-31;3523
2020-03-30;3024
2020-03-29;2606
2020-03-28;2314
2020-03-27;1995
2020-03-26;1696
2020-03-25;1331
2020-03-24;1100
2020-03-23;860
2020-03-22;674
2020-03-21;562
2020-03-20;450
2020-03-19;243
2020-03-18;148
2020-03-17;148
2020-03-16;148
2020-03-15;91
2020-03-14;91
2020-03-13;79
2020-03-12;48
2020-03-11;48
2020-03-10;33
2020-03-09;19
2020-03-08;19
2020-03-07;11
2020-03-06;9
2020-03-05;6
2020-03-04;4
2020-03-03;4
2020-03-02;3
2020-03-01;2
